time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Class
0.430,0.549,0.781,0.173,0.474,0.433,0.589,0.426,0.095,0.000
0.135,0.401,0.689,0.227,0.456,0.462,0.564,0.087,0.109,0.000
0.087,0.849,0.655,0.114,0.018,0.309,0.417,0.328,0.027,0.000
0.294,0.579,0.688,0.065,0.105,0.138,0.261,0.224,0.667,0.000
0.041,0.575,0.855,0.114,0.018,0.317,0.232,0.454,0.439,0.000
0.072,0.455,0.916,0.189,0.561,0.205,0.540,0.967,0.126,0.000
0.166,0.420,0.660,0.168,0.140,0.289,0.541,0.115,0.229,0.000
0.042,0.308,0.289,0.124,0.123,0.075,0.203,0.388,0.609,0.000
0.439,0.491,0.609,0.141,0.386,0.508,0.511,0.142,0.061,0.000
0.014,0.660,0.478,0.114,0.298,0.433,0.588,0.077,0.172,0.000
0.150,0.554,0.498,0.022,0.175,0.048,0.528,0.148,0.683,0.000
0.061,0.358,0.723,0.103,0.053,0.051,0.024,0.421,0.436,0.000
0.086,0.652,0.752,0.200,0.649,0.476,0.610,0.284,0.073,0.000
0.130,0.412,0.529,0.173,0.158,0.434,0.662,0.104,0.018,0.000
0.001,0.550,0.747,0.049,0.246,0.490,0.027,0.251,0.731,0.000
0.352,0.308,0.434,0.059,0.281,0.131,0.098,0.339,0.532,0.000
0.127,0.357,0.894,0.178,0.053,0.593,0.517,0.235,0.061,0.000
0.060,0.717,0.961,0.119,0.246,0.579,0.346,0.388,0.056,0.000
0.037,0.879,0.955,0.168,0.175,0.408,0.556,0.421,0.267,0.000
0.043,0.849,0.116,0.135,0.158,0.489,0.709,0.005,0.295,0.000
0.085,0.454,0.912,0.184,0.333,0.470,0.528,0.197,0.075,0.000
0.073,0.440,0.168,0.005,0.211,0.060,0.097,0.973,0.511,0.000
0.247,0.537,0.350,0.141,0.105,0.475,0.898,0.060,0.184,0.000
0.073,0.946,0.817,0.173,0.228,0.517,0.515,0.235,0.048,0.000
0.152,0.753,0.572,0.005,0.298,0.998,0.464,0.115,0.536,0.000
0.156,0.675,0.672,0.238,0.246,0.482,0.565,0.230,0.013,0.000
0.010,0.447,0.363,0.168,0.140,0.363,0.520,0.066,0.211,0.000
0.137,0.670,0.867,0.211,0.404,0.429,0.565,0.164,0.085,0.000
0.157,0.262,0.801,0.189,0.807,0.404,0.556,0.197,0.144,0.000
0.386,0.602,0.631,0.114,0.351,0.565,0.200,0.350,0.202,0.000
0.348,0.544,0.780,0.189,0.246,0.602,0.267,0.339,0.022,0.000
0.159,0.509,0.637,0.135,0.509,0.515,0.520,0.082,0.100,0.000
0.032,0.440,0.124,0.184,0.000,0.533,0.930,0.016,0.010,0.000
0.160,0.660,0.571,0.157,0.053,0.355,0.276,0.377,0.262,0.000
0.093,0.604,0.626,0.070,0.140,0.058,0.052,0.563,0.632,0.000
0.073,0.689,0.676,0.108,0.053,0.112,0.434,0.317,0.284,0.000
0.374,0.613,0.323,0.130,0.053,0.315,0.024,0.361,0.406,0.000
0.070,0.623,0.768,0.146,0.474,0.355,0.522,0.175,0.086,0.000
0.089,0.357,0.923,0.665,0.561,0.386,0.348,0.044,0.239,0.000
0.223,0.643,0.565,0.016,0.175,0.294,0.341,0.322,0.997,0.000
0.297,0.469,0.191,0.097,0.140,0.238,0.333,0.339,0.305,0.000
0.198,0.525,0.514,0.184,0.211,0.195,0.300,0.317,0.151,0.000
0.103,0.519,0.705,0.054,0.175,0.219,0.116,0.399,0.403,0.000
0.093,0.613,0.805,0.135,0.105,0.153,0.272,0.344,0.259,0.000
0.075,0.351,0.510,0.049,0.000,0.043,0.203,0.694,0.587,0.000
0.066,0.528,0.833,0.054,0.088,0.110,0.421,0.749,0.299,0.000
0.236,0.679,0.804,0.103,0.123,0.439,0.390,0.377,0.179,0.000
0.214,0.253,0.780,0.114,0.088,0.218,0.292,0.415,0.403,0.000
0.169,0.488,0.794,0.124,0.228,0.348,0.564,0.415,0.017,0.000
0.334,0.462,0.600,0.059,0.105,0.175,0.003,0.311,0.733,0.000
0.005,0.363,0.433,0.103,0.333,0.333,0.649,0.066,0.385,0.000
0.011,0.584,0.346,0.103,0.053,0.012,0.085,0.536,0.526,0.000
0.086,0.724,0.659,0.065,0.175,0.019,0.228,0.317,0.217,0.000
0.005,0.530,0.453,0.005,0.105,0.231,0.476,0.240,0.662,0.000
0.124,0.386,0.682,0.108,0.544,0.295,0.427,0.333,0.033,0.000
0.020,0.246,0.473,0.059,0.298,0.399,0.503,0.104,0.605,0.000
0.002,0.472,0.475,0.086,0.070,0.057,0.327,0.410,0.250,0.000
0.301,0.542,0.444,0.130,0.175,0.137,0.036,0.082,0.383,0.000
0.161,0.094,0.561,0.146,0.298,0.607,0.616,0.066,0.058,0.000
0.070,0.411,0.738,0.103,0.211,0.212,0.281,0.284,0.521,0.000
0.063,0.453,0.133,0.114,0.018,0.240,0.551,0.016,0.177,0.000
0.089,0.836,0.396,0.270,0.263,0.307,0.279,0.148,0.167,0.000
0.283,0.469,0.417,0.189,0.053,0.347,0.196,0.344,0.237,0.000
0.062,0.523,0.651,0.022,0.193,0.485,0.338,0.650,0.471,0.000
0.077,0.552,0.869,0.232,0.035,0.321,0.344,0.377,0.078,0.000
0.127,0.423,0.787,0.022,0.211,0.180,0.008,0.492,0.756,0.000
0.054,0.495,0.375,0.076,0.053,0.127,0.190,0.519,0.763,0.000
0.235,0.468,0.544,0.151,0.140,0.459,0.523,0.055,0.106,0.000
0.308,0.578,0.532,0.043,0.070,0.033,0.079,0.317,0.235,0.000
0.083,0.434,0.392,0.114,0.193,0.142,0.156,0.115,0.317,0.000
0.163,0.456,0.776,0.151,0.000,0.341,0.402,0.372,0.035,0.000
0.086,0.557,0.703,0.114,0.175,0.118,0.006,0.344,0.176,0.000
0.004,0.332,0.698,0.086,0.281,0.240,0.171,0.044,0.693,0.000
0.219,0.517,0.326,0.086,0.281,0.909,0.332,0.022,0.100,0.000
0.077,0.379,0.336,0.124,0.281,0.456,0.532,0.027,0.118,0.000
0.119,0.375,0.364,0.200,0.895,0.548,0.338,0.027,0.041,0.000
0.048,0.508,0.893,0.254,0.193,0.450,0.524,0.137,0.103,0.000
0.725,0.592,0.784,0.070,0.018,0.277,0.255,0.328,0.181,0.000
0.015,0.468,0.260,0.054,0.544,0.855,0.126,0.027,0.114,0.000
0.090,0.660,0.383,0.135,0.018,0.215,0.096,0.393,0.454,0.000
0.077,0.427,0.953,0.097,0.035,0.060,0.166,0.492,0.617,0.000
0.143,0.475,0.700,0.227,0.281,0.559,0.513,0.033,0.043,0.000
0.044,0.722,0.556,0.059,0.123,0.006,0.017,0.579,0.577,0.000
0.072,0.255,0.529,0.022,0.263,0.104,0.102,0.503,0.561,0.000
0.085,0.494,0.622,0.270,0.439,0.429,0.570,0.153,0.109,0.000
0.076,0.570,0.699,0.254,0.246,0.078,0.412,0.355,0.335,0.000
0.238,0.532,0.570,0.011,0.088,0.268,0.028,0.350,0.400,0.000
0.136,0.271,0.336,0.157,0.123,0.523,0.546,0.005,0.153,0.000
0.086,0.625,0.594,0.205,0.965,0.420,0.610,0.186,0.073,0.000
0.003,0.493,0.850,0.222,0.158,0.366,0.536,0.208,0.119,0.000
0.235,0.579,0.423,0.168,0.123,0.525,0.730,0.000,0.005,0.000
0.007,0.632,0.717,0.103,0.035,0.169,0.120,0.486,0.665,0.000
0.373,0.418,0.581,0.070,0.368,0.830,0.163,0.016,0.050,0.000
0.008,0.518,0.828,0.097,0.053,0.202,0.283,0.355,0.124,0.000
0.055,0.729,0.888,0.108,0.105,0.331,0.342,0.459,0.590,0.000
0.054,0.684,0.581,0.292,0.754,0.638,0.054,0.169,0.163,0.000
0.075,0.519,0.531,0.124,0.018,0.277,0.210,0.366,0.066,0.000
0.075,0.385,0.639,0.276,0.667,0.565,0.571,0.251,0.025,0.000
0.202,0.582,0.638,0.211,0.281,0.183,0.077,0.317,0.118,0.000
0.244,0.463,0.413,0.157,0.193,0.417,0.816,0.093,0.192,0.000
0.026,0.395,0.954,0.195,0.368,0.334,0.398,0.339,0.060,0.000
0.072,0.425,0.691,0.243,0.281,0.166,0.094,0.295,0.192,0.000
0.056,0.550,0.529,0.038,0.070,0.172,0.106,0.503,0.232,0.000
0.044,0.331,0.800,0.119,0.070,0.196,0.161,0.175,0.498,0.000
0.064,0.293,0.449,0.130,0.228,0.256,0.513,0.049,0.338,0.000
0.142,0.604,0.019,0.124,0.158,0.322,0.688,0.087,0.247,0.000
0.013,0.677,0.759,0.341,0.333,0.505,0.537,0.164,0.050,0.000
0.007,0.816,0.564,0.151,0.175,0.348,0.004,0.350,0.499,0.000
0.275,0.708,0.720,0.022,0.105,0.004,0.009,0.432,0.368,0.000
0.145,0.497,0.234,0.146,0.105,0.481,0.644,0.011,0.075,0.000
0.015,0.637,0.885,0.130,0.018,0.246,0.284,0.596,0.403,0.000
0.074,0.717,0.685,0.157,0.246,0.342,0.050,0.350,0.493,0.000
0.061,0.648,0.758,0.070,0.351,0.266,0.526,0.202,0.400,0.000
0.058,0.623,0.838,0.108,0.070,0.169,0.222,0.787,0.338,0.000
0.114,0.617,0.851,0.195,0.632,0.478,0.237,0.388,0.149,0.000
0.011,0.679,0.525,0.303,0.105,0.114,0.194,0.404,0.355,0.000
0.072,0.493,0.778,0.162,0.000,0.209,0.130,0.399,0.342,0.000
0.432,0.340,0.587,0.141,0.158,0.212,0.134,0.120,0.675,0.000
0.088,0.498,0.188,0.157,0.175,0.529,0.537,0.044,0.010,0.000
0.006,0.755,0.821,0.303,0.246,0.588,0.523,0.224,0.066,0.000
0.163,0.512,0.335,0.189,0.140,0.470,0.528,0.011,0.083,0.000
0.155,0.388,0.008,0.092,0.193,0.315,0.533,0.077,0.439,0.000
0.078,0.405,0.620,0.286,0.561,0.415,0.573,0.011,0.098,0.000
0.076,0.415,0.622,0.086,0.228,0.217,0.066,0.623,0.648,0.000
0.004,0.660,0.679,0.249,0.439,0.460,0.519,0.219,0.025,0.000
0.092,0.603,0.848,0.124,0.754,0.476,0.528,0.137,0.083,0.000
0.073,0.397,0.430,0.000,0.421,0.552,0.250,0.284,0.992,0.000
0.118,0.919,0.672,0.038,0.053,0.235,0.422,0.339,0.138,0.000
0.051,0.789,0.874,0.151,0.123,0.369,0.323,0.508,0.118,0.000
0.060,0.526,0.704,0.054,0.123,0.013,0.190,0.891,0.355,0.000
0.159,0.525,0.462,0.054,0.140,0.074,0.066,0.361,0.541,0.000
0.079,0.758,0.614,0.157,0.035,0.397,0.269,0.503,0.158,0.000
0.264,0.532,0.837,0.011,0.123,0.029,0.131,0.415,0.390,0.000
0.045,0.526,0.399,0.114,0.105,0.144,0.551,0.115,0.620,0.000
0.156,0.925,0.747,0.011,0.211,0.344,0.111,0.230,0.367,0.000
0.050,0.602,0.240,0.108,0.070,0.074,0.587,0.027,0.600,0.000
0.127,0.642,0.852,0.086,0.035,0.196,0.268,0.361,0.267,0.000
0.387,0.504,0.795,0.000,0.193,0.515,0.213,0.224,0.804,0.000
0.149,0.632,0.319,0.114,0.000,0.347,0.278,0.388,0.569,0.000
0.062,0.076,0.830,0.108,0.018,0.140,0.031,0.399,0.536,0.000
0.141,0.336,0.851,0.119,0.281,0.344,0.518,0.301,0.030,0.000
0.121,0.660,0.902,0.130,0.246,0.394,0.526,0.126,0.046,0.000
0.088,0.896,0.544,0.216,0.263,0.401,0.411,0.410,0.149,0.000
0.286,0.250,0.684,0.270,0.158,0.315,0.434,0.448,0.204,0.000
0.169,0.503,0.890,0.081,0.140,0.394,0.546,0.399,0.030,0.000
0.220,0.744,0.960,0.184,0.526,0.484,0.360,0.361,0.025,0.000
0.293,0.266,0.474,0.124,0.018,0.415,0.569,0.022,0.192,0.000
0.280,0.519,0.938,0.173,0.246,0.559,0.466,0.623,0.111,0.000
0.272,0.406,0.485,0.130,0.263,0.634,0.135,0.191,0.612,0.000
0.092,0.443,0.521,0.076,0.000,0.159,0.020,0.339,0.371,0.000
0.124,0.366,0.516,0.097,0.035,0.258,0.129,0.115,0.378,0.000
0.043,0.451,0.768,0.000,0.281,0.226,0.066,0.251,0.332,0.000
0.012,0.375,0.138,0.097,0.035,0.461,0.568,0.044,0.191,0.000
0.059,0.349,0.586,0.124,0.263,0.404,0.511,0.251,0.158,0.000
0.077,0.358,0.774,0.054,0.035,0.121,0.042,0.475,0.421,0.000
0.101,0.585,0.747,0.249,0.193,0.489,0.564,0.169,0.116,0.000
0.064,0.537,0.847,0.092,0.123,0.212,0.297,0.421,0.139,0.000
0.209,0.574,0.653,0.146,0.035,0.015,0.078,0.322,0.357,0.000
0.072,0.316,0.020,0.108,0.175,0.489,0.726,0.027,0.076,0.000
0.076,0.138,0.764,0.308,0.439,0.468,0.524,0.011,0.109,0.000
0.061,0.455,0.556,0.092,0.281,0.168,0.545,0.158,0.451,0.000
0.303,0.538,0.698,0.227,0.281,0.342,0.542,0.077,0.113,0.000
0.055,0.510,0.770,0.000,0.158,0.296,0.047,0.443,0.580,0.000
0.063,0.604,0.154,0.135,0.000,0.559,0.908,0.038,0.143,0.000
0.064,0.246,0.300,0.086,0.053,0.415,0.541,0.027,0.264,0.000
0.070,0.449,0.242,0.151,0.070,0.468,0.517,0.016,0.070,0.000
0.227,0.622,0.525,0.119,0.123,0.557,0.573,0.142,0.153,0.000
0.346,0.535,0.908,0.130,0.579,0.555,0.560,0.410,0.032,0.000
0.005,0.726,0.628,0.097,0.053,0.121,0.292,0.322,0.134,0.000
0.072,0.698,0.325,0.086,0.421,0.496,0.625,0.093,0.222,0.000
0.143,0.466,0.691,0.141,0.105,0.341,0.093,0.317,0.367,0.000
0.597,0.307,0.765,0.049,0.035,0.144,0.328,0.284,0.401,0.000
0.076,0.434,0.541,0.270,0.526,0.508,0.579,0.066,0.093,0.000
0.067,0.518,0.803,0.065,0.035,0.190,0.003,0.290,0.469,0.000
0.053,0.558,0.495,0.114,0.070,0.116,0.194,0.388,0.353,0.000
0.166,0.487,0.052,0.135,0.088,0.529,0.787,0.005,0.027,0.000
0.153,0.547,0.572,0.070,0.368,0.508,0.522,0.087,0.086,0.000
0.206,0.544,0.163,0.124,0.035,0.519,0.545,0.049,0.028,0.000
0.057,0.575,0.770,0.119,0.123,0.306,0.364,0.311,0.189,0.000
0.370,0.420,0.990,0.162,0.263,0.484,0.559,0.115,0.124,0.000
0.112,0.458,0.869,0.297,0.351,0.414,0.551,0.164,0.148,0.000
0.065,0.406,0.926,0.227,0.158,0.342,0.374,0.377,0.119,0.000
0.008,0.458,0.677,0.141,0.035,0.361,0.153,0.339,0.058,0.000
0.555,0.552,0.991,0.178,0.228,0.427,0.536,0.311,0.086,0.000
0.126,0.509,0.480,0.162,0.316,0.525,0.520,0.197,0.017,0.000
0.214,0.585,0.474,0.124,0.018,0.417,0.043,0.350,0.340,0.000
0.065,0.557,0.914,0.141,0.246,0.494,0.444,0.404,0.239,0.000
0.076,0.486,0.590,0.043,0.246,0.319,0.013,0.481,0.736,0.000
0.070,0.689,0.624,0.005,0.053,0.324,0.218,0.333,0.461,0.000
0.135,0.431,0.749,0.168,0.053,0.116,0.258,0.590,0.277,0.000
0.332,0.402,0.707,0.157,0.018,0.067,0.376,0.628,0.781,0.000
0.146,0.509,0.971,0.141,0.596,0.326,0.562,0.142,0.128,0.000
0.086,0.578,0.689,0.054,0.088,0.131,0.128,0.164,0.498,0.000
0.061,0.035,0.395,0.151,0.053,0.328,0.288,0.311,0.343,0.000
0.107,0.455,0.248,0.130,0.175,0.392,0.793,0.060,0.159,0.000
0.020,0.745,0.563,0.016,0.105,0.134,0.101,0.104,0.438,0.000
0.083,0.449,0.883,0.092,0.123,0.282,0.318,0.311,0.197,0.000
0.065,0.507,0.416,0.157,0.035,0.575,0.587,0.044,0.000,0.000
0.500,0.504,0.921,0.027,0.088,0.070,0.253,0.470,0.388,0.000
0.083,0.441,0.857,0.281,0.351,0.466,0.518,0.022,0.075,0.000
0.013,0.383,0.931,0.173,0.439,0.357,0.548,0.388,0.061,0.000
0.015,0.538,0.664,0.038,0.298,0.125,0.496,0.372,0.187,0.000
0.003,0.698,0.744,0.103,0.088,0.204,0.448,0.421,0.134,0.000
0.075,0.471,0.695,0.097,0.000,0.113,0.106,0.574,0.444,0.000
0.057,0.532,0.619,0.016,0.053,0.250,0.167,0.175,0.254,0.000
0.076,0.474,0.683,0.173,0.140,0.054,0.540,0.344,0.091,0.000
0.053,0.574,0.701,0.178,0.965,0.398,0.569,0.142,0.091,0.000
0.085,0.317,0.706,0.200,0.632,0.319,0.513,0.066,0.066,0.000
0.009,0.886,0.820,0.043,0.509,0.151,0.098,0.350,0.211,0.000
0.065,0.396,0.787,0.081,0.105,0.042,0.466,0.885,0.209,0.000
0.357,0.460,0.543,0.065,0.018,0.015,0.088,0.328,0.532,0.000
0.079,0.497,0.518,0.184,0.193,0.456,0.527,0.027,0.051,0.000
0.125,0.217,0.327,0.232,0.211,0.508,0.529,0.082,0.015,0.000
0.066,0.651,0.642,0.114,0.018,0.151,0.138,0.328,0.123,0.000
0.086,0.450,0.872,0.173,0.491,0.546,0.547,0.180,0.003,0.000
0.438,0.825,0.873,0.032,0.211,0.130,0.393,0.503,0.234,0.000
0.227,0.783,0.141,0.114,0.123,0.442,0.941,0.027,0.234,0.000
0.084,0.406,0.594,0.092,0.281,0.117,0.041,0.098,0.151,0.000
0.068,0.149,0.632,0.281,0.175,0.506,0.522,0.038,0.020,0.000
0.277,0.511,0.678,0.151,0.526,0.249,0.218,0.328,0.224,0.000
0.002,0.553,0.799,0.162,0.316,0.502,0.522,0.202,0.036,0.000
0.065,0.482,0.699,0.146,0.526,0.462,0.520,0.208,0.051,0.000
0.080,0.467,0.429,0.265,0.386,0.523,0.566,0.060,0.078,0.000
0.071,0.481,0.254,0.146,0.228,0.341,0.716,0.027,0.219,0.000
0.269,0.444,0.822,0.254,0.368,0.525,0.542,0.131,0.129,0.000
0.194,0.123,0.781,0.103,0.386,0.335,0.384,0.344,0.338,0.000
0.076,0.513,0.524,0.151,0.579,0.461,0.562,0.044,0.061,0.000
0.141,0.792,0.382,0.124,0.035,0.467,0.767,0.087,0.519,0.000
0.011,0.523,0.617,0.016,0.158,0.222,0.061,0.656,0.625,0.000
0.060,0.331,0.626,0.157,0.070,0.145,0.239,0.153,0.284,0.000
0.080,0.572,0.466,0.005,0.211,0.384,0.175,0.120,0.439,0.000
0.146,0.419,0.546,0.459,1.000,0.529,0.640,0.005,0.040,0.000
0.043,0.308,0.528,0.151,0.000,0.102,0.548,0.126,0.260,0.000
0.159,0.363,0.937,0.097,0.158,0.119,0.256,0.372,0.347,0.000
0.045,0.334,0.243,0.130,0.035,0.466,0.652,0.000,0.169,0.000
0.077,0.429,0.682,0.016,0.193,0.308,0.216,0.230,0.446,0.000
0.195,0.223,0.834,0.141,0.035,0.405,0.362,0.328,0.196,0.000
0.267,0.475,0.878,0.135,0.912,0.434,0.357,0.164,0.027,0.000
0.112,0.151,0.312,0.097,0.105,0.263,0.805,0.016,0.657,0.000
0.212,0.944,0.867,0.157,0.298,0.466,0.519,0.153,0.076,0.000
0.166,0.509,0.481,0.097,0.000,0.239,0.198,0.049,0.128,0.000
0.122,0.714,0.093,0.168,0.018,0.413,0.526,0.000,0.005,0.000
0.081,0.433,0.638,0.114,0.298,0.373,0.293,0.033,0.428,0.000
0.007,0.559,0.767,0.130,0.053,0.229,0.315,0.710,0.715,0.000
0.065,0.282,0.425,0.124,0.404,0.540,0.543,0.093,0.060,0.000
0.068,0.542,0.659,0.059,0.246,0.083,0.175,0.328,0.262,0.000
0.152,0.656,0.899,0.151,0.175,0.238,0.365,0.448,0.284,0.000
0.008,0.742,0.227,0.168,0.175,0.498,0.582,0.033,0.177,0.000
0.057,0.523,0.609,0.103,0.211,0.040,0.004,0.339,0.342,0.000
0.156,0.505,0.835,0.314,0.333,0.260,0.194,0.508,0.474,0.000
0.236,0.334,0.268,0.130,0.000,0.581,0.598,0.049,0.048,0.000
0.026,0.697,0.790,0.151,0.140,0.119,0.195,0.317,0.415,0.000
0.006,0.632,0.234,0.103,0.105,0.356,0.829,0.049,0.335,0.000
0.087,0.402,0.444,0.168,0.035,0.478,0.619,0.005,0.041,0.000
0.064,0.491,0.544,0.254,0.140,0.027,0.171,0.361,0.066,0.000
0.003,0.506,0.536,0.032,0.351,0.096,0.083,0.350,0.546,0.000
0.065,0.660,0.874,0.168,0.193,0.336,0.503,0.311,0.118,0.000
0.085,0.564,0.649,0.184,0.105,0.056,0.528,0.333,0.209,0.000
0.216,0.764,0.195,0.119,0.070,0.404,0.888,0.005,0.403,0.000
0.118,0.415,0.325,0.076,0.105,0.468,0.517,0.027,0.265,0.000
0.005,0.679,0.277,0.151,0.175,0.421,0.526,0.005,0.443,0.000
0.381,0.653,0.422,0.232,0.491,0.328,0.135,0.224,0.106,0.000
0.099,0.582,0.857,0.070,0.140,0.019,0.315,0.590,0.270,0.000
0.063,0.225,0.881,0.081,0.035,0.305,0.300,0.284,0.219,0.000
0.371,0.489,0.762,0.157,0.123,0.399,0.306,0.410,0.514,0.000
0.103,0.516,0.301,0.141,0.105,0.541,0.693,0.055,0.028,0.000
0.070,0.518,0.845,0.157,0.018,0.231,0.380,0.377,0.066,0.000
0.052,0.305,0.728,0.070,0.053,0.328,0.300,0.426,0.277,0.000
0.052,0.594,0.768,0.130,0.175,0.448,0.360,0.421,0.035,0.000
0.141,0.347,0.524,0.054,0.175,0.093,0.077,0.497,0.685,0.000
0.004,0.719,0.348,0.124,0.193,0.431,0.616,0.055,0.153,0.000
0.071,0.198,0.096,0.119,0.123,0.397,0.895,0.022,0.300,0.000
0.043,0.394,0.703,0.005,0.105,0.124,0.073,0.208,0.556,0.000
0.290,0.565,0.308,0.086,0.123,0.338,0.180,0.077,0.632,0.000
0.082,0.582,0.739,0.070,0.053,0.043,0.298,0.481,0.448,0.000
0.010,0.292,0.161,0.124,0.018,0.522,0.731,0.022,0.036,0.000
0.044,0.178,0.774,0.195,0.526,0.428,0.522,0.027,0.126,0.000
0.062,0.321,0.632,0.086,0.035,0.009,0.218,0.410,0.353,0.000
0.001,0.492,0.059,0.011,0.351,0.188,0.399,0.361,0.607,0.000
0.089,0.660,0.907,0.130,0.053,0.161,0.307,0.383,0.328,0.000
0.070,0.304,0.928,0.189,0.123,0.200,0.435,0.770,0.352,0.000
0.083,0.407,0.535,0.205,0.333,0.139,0.001,0.311,0.061,0.000
0.075,0.485,0.832,0.114,0.018,0.216,0.281,0.399,0.181,0.000
0.134,0.566,0.643,0.005,0.070,0.285,0.185,0.093,0.355,0.000
0.115,0.472,0.737,0.135,0.456,0.478,0.514,0.148,0.017,0.000
0.078,0.489,0.132,0.114,0.175,0.403,0.550,0.071,0.151,0.000
0.071,0.532,0.774,0.059,0.018,0.139,0.128,0.197,0.516,0.000
0.067,0.528,0.897,0.151,0.035,0.320,0.364,0.612,0.023,0.000
0.099,0.373,0.627,0.157,0.439,0.394,0.432,0.393,0.143,0.000
0.081,0.302,0.802,0.065,0.053,0.130,0.283,0.656,0.371,0.000
0.087,0.266,0.488,0.168,0.018,0.419,0.568,0.027,0.090,0.000
0.058,0.717,0.453,0.130,0.316,0.309,0.560,0.044,0.259,0.000
0.218,0.764,0.420,0.119,0.053,0.132,0.583,0.197,0.416,0.000
0.007,0.896,0.342,0.135,0.000,0.572,0.575,0.005,0.098,0.000
0.064,0.446,0.171,0.130,0.018,0.509,0.565,0.049,0.211,0.000
0.011,0.387,0.811,0.135,0.456,0.433,0.537,0.290,0.090,0.000
0.076,0.423,0.790,0.022,0.105,0.025,0.158,0.590,0.559,0.000
0.083,0.426,0.670,0.103,0.105,0.072,0.224,0.486,0.534,0.000
0.054,0.660,0.503,0.135,0.105,0.399,0.360,0.525,0.219,0.000
0.009,0.512,0.827,0.124,0.386,0.548,0.515,0.219,0.065,0.000
0.068,0.493,0.474,0.070,0.263,0.056,0.555,0.126,0.353,0.000
0.802,0.487,0.825,0.108,0.088,0.149,0.272,0.437,0.189,0.000
0.006,0.508,0.829,0.022,0.105,0.188,0.096,0.191,0.765,0.000
0.197,0.595,0.504,0.097,0.018,0.422,0.610,0.082,0.259,0.000
0.078,0.590,0.723,0.092,0.053,0.035,0.239,0.344,0.244,0.000
0.066,0.658,0.551,0.016,0.211,0.351,0.295,0.230,0.544,0.000
0.071,0.717,0.684,0.103,0.035,0.407,0.312,0.393,0.254,0.000
0.104,0.488,0.292,0.135,0.035,0.081,0.681,0.066,0.363,0.000
0.145,0.571,0.228,0.124,0.140,0.194,0.583,0.033,0.191,0.000
0.094,0.275,0.617,0.119,0.316,0.504,0.430,0.311,0.002,0.000
0.068,0.606,0.423,0.081,0.035,0.134,0.085,0.339,0.453,0.000
0.006,0.679,0.142,0.076,0.105,0.268,0.893,0.033,0.312,0.000
0.279,0.392,0.364,0.070,0.140,0.179,0.088,0.404,0.322,0.000
0.070,0.595,0.670,0.130,0.316,0.397,0.327,0.317,0.045,0.000
0.052,0.528,0.822,0.222,0.035,0.302,0.097,0.415,0.252,0.000
0.050,0.704,0.706,0.157,0.351,0.427,0.218,0.317,0.085,0.000
0.076,0.559,0.642,0.195,0.158,0.104,0.278,0.459,0.458,0.000
0.072,0.623,0.303,0.119,0.246,0.380,0.779,0.104,0.290,0.000
0.049,0.608,0.227,0.205,0.228,0.761,0.175,0.656,0.247,0.000
0.065,0.670,0.254,0.070,0.070,0.021,0.005,0.317,0.363,0.000
0.064,0.611,0.305,0.130,0.035,0.565,0.533,0.016,0.051,0.000
0.018,0.696,0.980,0.168,0.684,0.355,0.579,0.137,0.104,0.000
0.214,0.575,0.538,0.011,0.105,0.044,0.176,0.339,0.381,0.000
0.083,0.694,0.055,0.119,0.018,0.420,0.569,0.038,0.010,0.000
0.068,0.314,0.722,0.227,0.491,0.596,0.545,0.077,0.030,0.000
0.419,0.611,0.682,0.070,0.281,0.900,0.236,0.016,0.048,0.000
0.058,0.732,0.067,0.108,0.158,0.477,0.679,0.044,0.224,0.000
0.024,0.075,0.201,0.195,0.035,0.606,0.518,0.011,0.028,0.000
0.074,0.510,0.206,0.076,0.175,0.208,0.656,0.142,0.211,0.000
0.078,0.498,0.552,0.097,0.070,0.139,0.316,0.230,0.391,0.000
0.072,0.479,0.632,0.281,0.421,0.205,0.071,0.279,0.536,0.000
0.047,0.223,0.950,0.086,0.105,0.287,0.348,0.536,0.134,0.000
0.095,0.411,0.628,0.076,0.088,0.109,0.054,0.224,0.554,0.000
0.086,0.774,0.811,0.222,0.439,0.625,0.552,0.694,0.027,0.000
0.062,0.572,0.579,0.108,0.088,0.005,0.156,0.361,0.622,0.000
0.035,0.952,0.840,0.227,0.088,0.158,0.256,0.301,0.259,0.000
0.065,0.493,0.867,0.259,0.386,0.426,0.518,0.464,0.078,0.000
0.140,0.520,0.870,0.086,0.281,0.349,0.459,0.333,0.202,0.000
0.346,0.558,0.705,0.081,0.193,0.140,0.341,0.087,0.396,0.000
0.068,0.628,0.895,0.027,0.544,0.137,0.344,0.388,0.191,0.000
0.155,0.704,0.513,0.205,0.000,0.385,0.286,0.317,0.232,0.000
0.144,0.536,0.605,0.162,0.228,0.352,0.135,0.333,0.277,0.000
0.097,0.745,0.850,0.130,0.070,0.445,0.312,0.443,0.466,0.000
0.098,0.226,0.335,0.065,0.123,0.286,0.249,0.257,0.683,0.000
0.134,0.566,0.991,0.119,0.105,0.412,0.394,0.317,0.167,0.000
0.087,0.494,0.440,0.238,0.439,0.512,0.526,0.011,0.090,0.000
0.316,0.300,0.783,0.189,0.123,0.300,0.457,0.339,0.101,0.000
