time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1765,2.608,6.674,0.45,2.2,4.34,280,0.8,0.18
159,2.76,6.044,0.52,0.8,4.61,219,1.5,0.88
4043,2.638,6.257,0.36,2.1,4.84,230,2.6,0.32
1550,2.451,6.498,0.31,0.7,3.33,309,1.7,0.58
4628,2.77,6.383,0.2,0.1,4.53,260,0.7,0.17
3046,2.729,6.77,0.32,0.7,3.94,315,0.3,0.17
3220,2.958,6.813,0.26,1.7,4.18,329,2.1,0.22
1244,2.74,6.443,0.31,0.7,4.08,137,1.5,0.47
233,2.867,6.221,0.28,3.0,5.23,305,0.1,0.58
5379,2.34,5.678,0.27,0.1,5.31,224,0.0,0.12
1602,2.585,6.415,0.23,1.3,4.22,240,2.7,0.9
1578,2.765,6.525,0.22,1.0,4.67,130,1.3,0.42
408,2.77,6.264,0.21,0.1,4.15,141,3.4,1.26
3677,2.526,6.416,0.3,0.0,0.08,207,0.2,1.49
1572,2.331,6.202,0.29,1.4,4.74,183,0.7,1.17
4575,2.633,6.013,0.18,0.5,3.75,211,1.0,0.09
5814,2.577,6.027,0.34,0.2,4.0,131,0.8,0.63
1624,2.69,5.876,0.33,0.0,3.35,14,2.2,0.64
1397,2.544,6.11,0.31,1.0,3.91,146,0.4,0.85
1379,2.588,6.104,0.3,1.8,4.44,90,1.1,0.02
8622,2.858,6.805,0.23,0.8,4.87,233,0.9,0.38
2420,2.733,6.249,0.25,0.2,3.67,207,2.4,1.55
5400,2.745,6.047,0.25,0.4,4.32,115,0.0,0.56
123,2.634,5.653,0.3,0.2,4.1,193,0.4,1.0
108,2.301,6.298,0.31,1.1,3.31,286,1.5,0.09
1984,2.73,6.131,0.31,0.5,4.89,52,0.8,0.35
1626,2.834,6.48,0.26,0.4,4.02,204,0.5,0.6
1446,2.557,5.849,0.27,0.8,4.41,35,0.7,0.44
4655,2.627,6.635,0.4,0.6,2.2,313,1.4,0.59
5699,2.4,5.859,0.24,0.8,4.4,158,0.2,0.31
1256,2.558,5.938,0.26,0.3,5.08,35,0.0,0.57
1167,2.544,6.098,0.33,1.2,4.61,152,0.1,0.8
1544,2.79,6.095,0.19,0.6,4.24,109,0.1,0.2
1250,2.611,6.635,0.3,1.0,4.81,100,2.2,0.26
1298,2.602,6.283,0.37,2.3,4.72,212,0.8,0.05
1450,2.797,6.319,0.3,0.7,2.07,172,1.7,0.74
2514,2.668,6.6,0.26,0.4,2.38,125,2.2,0.81
2304,2.532,5.91,0.37,1.4,4.68,145,0.0,0.13
5586,2.77,6.056,0.27,0.4,3.59,229,2.4,0.85
1852,2.689,5.844,0.32,1.1,3.9,154,0.3,0.53
4423,2.724,6.447,0.31,0.5,3.89,94,0.4,0.5
1510,2.703,5.954,0.22,0.4,3.25,111,0.1,0.05
1844,2.51,5.581,0.25,0.5,4.17,194,0.0,1.05
3172,2.791,6.613,0.28,1.5,3.24,245,3.7,0.84
4249,2.677,6.001,0.14,0.5,4.6,206,0.3,0.02
3156,2.788,5.535,0.2,0.1,2.19,177,0.6,1.32
1292,2.724,6.465,0.19,0.6,4.54,50,1.3,1.35
2447,2.505,6.307,0.02,0.0,3.41,139,1.9,0.55
1190,2.705,6.377,0.33,0.0,2.82,75,0.6,2.19
1022,2.62,6.715,0.44,1.2,4.49,248,0.7,0.47
1487,2.701,6.47,0.49,0.8,5.26,350,1.6,0.23
4464,2.59,6.689,0.23,2.4,3.27,178,0.7,0.44
1690,2.671,6.146,0.24,0.6,3.81,114,0.2,0.56
1341,2.613,6.559,0.23,0.3,2.62,27,3.2,0.53
1706,2.597,6.829,0.3,2.2,3.34,305,0.8,0.8
385,2.476,5.661,0.27,0.6,4.69,80,0.9,0.15
1517,2.955,6.738,0.27,1.6,4.95,231,0.1,0.09
1266,2.772,6.896,0.27,0.2,4.77,134,0.2,0.12
1359,2.55,5.912,0.33,0.2,3.77,123,0.0,0.25
4607,2.538,6.229,0.24,0.4,3.44,163,1.2,0.48
1042,2.603,5.521,0.34,1.2,5.14,133,0.1,0.1
2573,2.855,6.345,0.29,1.0,4.73,196,0.3,0.03
3423,2.597,6.811,0.33,2.2,6.21,173,1.1,0.27
5655,2.46,5.302,0.2,0.3,4.88,384,0.5,0.05
27,2.478,6.218,0.29,0.1,5.15,125,0.2,0.01
1770,2.473,5.816,0.26,0.8,4.32,109,0.9,0.01
6159,2.594,6.234,0.29,1.3,4.74,183,0.0,0.07
154,3.101,5.848,0.32,0.1,4.81,125,0.1,0.43
1391,2.751,6.498,0.25,0.5,5.02,165,0.2,0.24
1564,2.756,6.274,0.25,0.2,4.42,103,0.5,0.07
1112,2.86,5.779,0.26,1.3,4.44,94,0.9,0.07
3804,2.52,5.993,0.24,0.4,4.12,241,0.2,0.24
2517,2.683,5.59,0.14,0.6,4.32,24,0.4,0.17
1342,2.658,5.93,0.3,1.2,5.49,145,0.9,0.47
1355,2.649,5.275,0.26,0.7,4.32,130,0.0,0.2
2525,2.505,6.292,0.28,0.6,4.77,71,0.2,0.17
8805,2.614,5.571,0.15,0.9,3.91,227,0.5,0.51
2548,2.591,6.065,0.29,0.6,4.12,100,0.3,0.18
1380,2.812,6.413,0.25,0.1,3.54,22,3.0,1.02
2488,2.364,6.345,0.36,1.4,4.84,31,0.9,0.41
2832,2.474,5.727,0.38,0.4,5.11,57,0.2,0.27
2106,2.64,5.835,0.26,0.2,4.87,137,0.6,0.14
1582,2.587,6.53,0.28,0.0,4.86,9,0.3,0.29
175,2.692,5.742,0.35,1.8,4.1,321,0.2,0.65
1394,2.572,6.001,0.4,0.7,4.0,16,0.2,0.23
1011,2.594,5.891,0.27,0.2,4.95,26,1.7,1.69
7098,2.44,5.511,0.18,0.8,5.01,133,1.5,0.21
3395,2.41,6.193,0.17,1.3,3.31,219,1.9,2.0
1027,2.825,6.594,0.28,1.7,4.2,252,0.2,0.22
4059,2.357,6.839,0.42,1.0,2.88,249,3.3,0.58
1386,2.412,6.017,0.25,0.5,3.79,8,0.2,0.56
3044,2.59,6.528,0.28,0.6,4.1,182,0.2,0.05
1620,2.683,5.615,0.27,0.3,3.21,18,0.6,1.04
2795,2.424,6.616,0.25,1.8,3.75,353,1.7,0.38
1528,2.522,5.863,0.31,0.1,1.52,33,1.6,1.1
2356,2.406,6.343,0.36,0.2,4.64,256,0.9,0.04
5514,2.63,6.305,0.21,1.9,4.18,333,0.9,0.5
1984,2.746,5.667,0.36,0.1,5.02,236,0.6,0.02
230,2.256,6.031,0.24,0.4,4.02,215,0.9,1.96
1447,2.433,6.464,0.24,0.3,4.61,30,0.0,0.72
1458,2.647,6.903,0.25,2.3,4.48,290,1.5,0.08
2792,2.434,6.651,0.36,1.0,4.89,110,0.1,0.14
1580,2.674,6.629,0.31,0.2,2.58,56,3.8,1.71
4659,2.73,6.054,0.25,0.2,4.5,243,2.9,0.01
1632,2.822,6.326,0.29,1.5,4.29,168,0.4,0.22
2602,2.497,6.166,0.32,0.4,4.9,112,1.1,1.94
8116,2.427,6.325,0.29,1.4,4.86,3,0.2,0.16
1628,2.68,5.869,0.29,1.3,4.89,104,0.4,0.08
1700,2.48,6.5,0.17,1.6,1.0,32,1.8,0.91
3365,2.573,6.626,0.22,0.1,4.12,81,0.7,0.19
886,2.599,6.121,0.29,1.0,3.14,90,3.2,1.12
2967,2.575,6.239,0.28,0.2,4.61,192,0.2,0.12
2858,2.371,6.108,0.26,0.2,3.08,87,1.4,0.61
1453,2.638,6.81,0.24,1.2,4.07,169,4.9,0.39
1076,2.542,5.832,0.35,0.5,3.66,74,0.2,0.76
3918,2.458,5.719,0.34,0.4,4.74,260,0.8,0.16
3105,2.659,6.662,0.35,0.7,4.61,296,1.6,0.34
266,2.48,6.63,0.31,1.6,4.46,272,2.0,0.52
1582,2.57,6.278,0.3,0.3,3.16,251,1.1,0.57
2443,2.783,5.928,0.25,0.3,4.9,4,0.4,0.5
975,2.747,6.717,0.19,0.3,2.4,186,2.1,0.4
5882,2.632,6.096,0.31,2.2,4.73,192,0.6,0.01
952,2.595,6.233,0.27,0.4,3.33,118,0.5,0.41
2311,2.451,5.568,0.37,1.1,3.06,197,0.7,0.66
982,2.563,6.259,0.25,1.4,4.7,163,0.3,0.0
1674,2.544,6.43,0.24,1.0,4.59,230,0.9,0.16
20385,2.627,6.386,0.27,1.4,4.79,45,0.7,0.29
947,2.432,6.51,0.24,0.1,2.93,101,2.3,1.7
35,2.766,6.447,0.21,1.7,2.72,364,2.6,0.65
6207,2.331,5.658,0.37,0.7,3.93,137,1.4,0.77
3446,2.38,6.717,0.26,0.8,4.57,261,1.6,0.7
3315,2.711,6.479,0.3,0.4,4.11,93,0.6,0.01
5485,2.567,6.585,0.33,1.2,4.73,305,0.7,0.21
1298,2.474,5.781,0.2,0.9,3.45,34,2.2,0.08
1937,2.558,5.914,0.36,0.9,4.37,70,0.6,0.76
1343,2.523,5.936,0.33,1.8,3.73,299,1.3,0.49
1549,2.39,6.423,0.33,0.7,4.34,12,1.5,1.46
653,2.463,6.198,0.38,0.2,3.23,209,0.8,0.16
2555,2.8,6.052,0.22,1.0,4.78,354,0.4,0.45
1679,2.786,6.386,0.27,1.6,3.65,188,0.6,0.78
82,2.341,5.731,0.2,0.8,4.42,24,1.0,0.27
1308,2.239,6.402,0.28,0.1,4.4,114,0.8,0.36
7517,2.496,6.433,0.26,1.1,4.96,3,0.3,0.26
1296,2.617,6.681,0.41,0.3,4.12,328,1.3,0.84
845,2.685,6.48,0.29,0.8,3.44,298,0.5,0.28
3113,2.695,6.089,0.31,0.2,4.66,5,0.8,0.47
140,2.209,6.36,0.25,1.9,4.68,250,0.3,0.26
8013,2.7,6.125,0.18,1.3,4.05,158,0.4,0.28
1127,2.438,6.158,0.31,0.8,4.08,175,1.1,0.54
1586,2.643,6.027,0.27,1.1,4.31,95,0.5,0.19
7170,2.51,6.281,0.37,0.0,3.99,231,0.1,0.12
4414,2.598,5.905,0.16,1.6,7.79,260,0.4,0.6
4907,2.571,6.582,0.26,1.0,2.74,69,2.4,0.09
2913,2.46,6.319,0.23,1.4,4.24,274,0.7,0.29
1571,2.439,6.195,0.34,0.8,4.77,59,1.1,0.04
1992,2.442,6.199,0.25,0.4,4.62,148,0.7,0.13
9098,2.321,6.155,0.29,0.3,2.79,47,1.9,0.69
4188,2.39,5.708,0.25,0.3,5.0,200,0.6,0.14
3307,2.603,6.545,0.27,1.7,4.48,254,0.0,0.46
1851,2.29,5.962,0.25,1.1,6.06,58,0.0,0.46
44,2.588,6.344,0.3,0.0,2.87,114,0.5,0.43
17473,2.854,6.065,0.25,1.2,4.06,167,0.3,0.29
1532,2.391,6.006,0.36,0.4,3.63,36,0.4,0.29
4208,2.576,6.235,0.23,0.2,0.91,51,2.5,0.85
780,2.664,5.987,0.34,1.5,4.65,297,1.2,0.52
1496,3.107,7.017,0.29,1.8,3.59,195,1.2,0.47
1816,2.54,6.101,0.21,0.2,4.43,47,1.4,0.59
1666,2.69,6.873,0.31,2.4,4.46,212,1.8,0.15
882,2.446,5.886,0.22,1.0,4.05,276,0.2,0.79
4193,2.591,6.177,0.3,1.6,3.61,250,0.5,0.53
1694,2.75,6.107,0.25,0.3,4.09,88,0.3,0.79
1420,2.868,5.858,0.3,1.1,4.58,241,0.4,0.75
1743,2.551,6.429,0.23,0.6,4.53,37,0.3,0.71
1902,2.89,6.463,0.23,0.8,4.09,122,4.1,0.19
1551,2.556,6.204,0.29,0.3,3.49,13,1.4,0.47
1514,2.61,5.541,0.22,1.2,4.64,264,1.0,1.24
145,2.623,6.794,0.24,1.1,3.39,160,1.0,0.55
2709,2.487,5.636,0.28,0.8,3.05,158,0.0,0.8
4127,2.643,6.359,0.27,1.0,4.39,36,0.1,0.14
1348,2.69,6.288,0.36,1.0,2.88,144,1.8,0.97
5275,2.728,6.249,0.28,0.2,5.09,33,0.9,0.24
2843,2.71,6.202,0.22,0.6,3.76,181,0.2,0.89
14511,2.36,6.051,0.2,0.4,2.72,169,2.1,0.84
1705,2.59,5.761,0.27,0.3,4.16,21,1.7,0.75
112,2.315,5.8,0.26,2.6,4.09,125,0.0,0.56
2367,2.645,5.946,0.26,1.8,4.15,215,0.8,0.11
24487,2.414,5.971,0.24,0.8,4.61,75,0.4,0.72
1580,2.759,5.796,0.2,0.2,5.33,167,1.3,0.22
498,2.628,5.754,0.33,1.2,3.07,55,0.2,0.44
1538,2.505,6.451,0.34,2.2,3.63,246,0.7,0.32
44,2.603,6.47,0.21,0.2,4.52,157,0.8,0.32
2533,2.571,5.973,0.24,0.2,2.35,101,0.9,1.02
565,2.272,6.779,0.53,1.8,4.14,298,0.6,0.3
1851,2.29,5.962,0.25,1.1,6.06,58,0.0,0.46
1160,2.401,5.788,0.19,0.7,5.04,93,0.5,0.67
186,2.703,6.156,0.31,0.4,4.76,9,1.1,0.29
4583,2.836,5.858,0.37,1.1,4.32,262,0.1,0.11
1387,2.437,5.619,0.26,0.8,4.85,18,1.4,0.06
283,2.54,6.132,0.27,0.8,4.16,255,0.2,0.53
1155,2.512,5.902,0.39,0.1,3.26,80,0.6,0.73
1077,2.664,5.596,0.26,1.4,3.54,135,0.8,0.61
1387,2.946,6.393,0.2,1.0,4.09,206,0.1,0.16
2679,2.3,5.535,0.29,0.1,4.08,169,1.9,0.18
1443,2.639,6.497,0.33,0.7,2.46,178,0.5,0.39
1612,2.557,6.464,0.25,0.6,5.11,289,0.7,0.46
2904,2.64,5.223,0.15,0.1,3.54,348,1.6,0.16
1383,2.82,6.129,0.26,0.8,3.99,149,0.2,0.87
4015,2.604,6.067,0.28,0.4,4.1,57,0.2,0.1
1294,2.694,6.398,0.27,1.8,3.28,230,0.7,0.33
3215,2.487,6.104,0.26,2.7,4.18,317,3.0,0.25
1325,2.663,6.698,0.28,0.9,3.91,293,0.9,0.06
1604,2.551,5.72,0.22,0.9,4.57,72,0.3,0.24
1818,2.674,5.592,0.26,0.3,4.65,98,0.5,0.1
1164,2.481,6.518,0.3,0.1,2.9,174,1.8,1.35
1672,2.756,6.003,0.25,0.6,3.76,125,0.8,1.04
3113,2.695,6.089,0.31,0.2,4.66,5,0.8,0.47
1711,2.673,6.187,0.2,0.3,3.8,98,2.8,1.33
1485,2.563,6.315,0.26,0.5,4.52,254,0.9,0.03
385,2.453,5.935,0.31,1.2,3.76,97,0.2,0.38
1897,2.714,6.117,0.38,1.2,5.25,298,0.0,0.43
838,2.455,7.085,0.32,1.5,4.41,310,1.8,0.83
1361,2.613,6.281,0.16,0.4,2.72,182,3.5,1.03
672,2.98,6.075,0.28,1.5,4.45,298,0.5,0.08
1912,2.405,6.209,0.3,2.4,4.45,230,0.0,0.53
1606,2.002,5.996,0.21,1.1,4.03,68,0.2,0.23
2590,2.54,6.268,0.35,1.8,3.82,123,1.7,0.54
1150,2.465,6.332,0.29,0.4,4.6,156,0.2,0.06
6130,2.218,6.537,0.31,0.7,3.81,172,0.9,0.77
1008,2.392,5.482,0.26,0.3,4.72,19,0.8,0.57
1480,2.545,6.124,0.36,2.3,3.44,198,0.2,0.87
1451,2.514,6.189,0.24,0.6,4.91,36,0.9,0.42
1299,2.43,6.172,0.26,0.6,4.85,224,0.3,0.72
1406,2.666,5.93,0.33,1.6,4.05,159,0.0,0.34
4010,2.408,6.164,0.3,0.9,4.59,237,0.6,0.15
139,2.776,6.277,0.28,1.6,3.75,192,2.1,0.6
1436,2.541,6.066,0.22,0.3,2.58,116,1.2,0.84
4049,2.272,6.084,0.29,0.1,4.36,231,0.2,0.63
5497,2.42,5.988,0.23,1.0,3.42,121,1.0,2.12
7101,2.602,6.608,0.25,0.9,2.81,318,3.1,0.87
1963,2.77,7.004,0.29,1.0,3.83,49,4.5,1.32
1311,2.655,5.963,0.22,0.1,3.03,24,1.6,0.22
13296,2.519,6.158,0.33,1.0,4.7,199,0.2,0.25
1256,2.79,6.595,0.24,1.2,3.69,172,2.6,0.62
1180,2.467,6.164,0.35,0.5,4.96,103,0.2,0.07
1709,2.64,6.178,0.3,0.7,5.24,260,1.3,0.17
3398,2.541,6.511,0.13,1.3,4.44,288,1.6,0.1
1267,2.537,6.447,0.27,0.2,4.39,172,1.0,0.45
253,2.375,6.175,0.3,0.6,3.83,40,0.7,0.49
1429,2.769,6.438,0.27,0.4,4.14,132,0.1,0.49
2902,2.781,6.52,0.27,0.4,4.11,129,0.4,0.52
2799,2.677,6.53,0.38,1.2,3.68,120,0.7,0.64
2553,2.203,6.74,0.33,0.7,4.08,100,0.3,0.64
1382,2.296,6.754,0.33,0.9,3.3,291,0.1,0.61
1504,2.663,6.633,0.22,0.4,3.93,224,1.4,0.52
1472,2.618,6.469,0.32,1.4,4.49,164,1.4,0.37
1603,2.226,6.341,0.26,1.7,4.45,239,1.6,0.24
4428,2.792,6.356,0.33,1.3,5.23,242,0.4,0.4
8953,2.785,5.806,0.25,1.0,4.17,8,0.8,0.03
2899,2.84,6.49,0.22,0.2,3.0,209,3.0,0.87
1342,2.326,5.978,0.27,0.4,4.36,41,1.1,0.46
1177,2.784,6.008,0.28,0.4,3.25,152,2.0,0.12
77,2.704,6.722,0.25,0.4,3.44,288,2.2,0.51
1985,2.542,6.336,0.29,0.9,4.21,153,0.3,0.36
3138,2.52,6.655,0.43,0.2,3.24,296,1.2,0.78
2938,2.531,6.42,0.34,1.6,4.71,153,0.0,0.63
1692,2.431,6.289,0.31,0.2,5.09,147,0.6,0.14
3047,2.648,5.882,0.24,0.7,3.48,4,0.3,0.2
1088,2.668,6.592,0.29,0.7,4.01,122,2.5,0.02
3084,2.75,6.737,0.25,0.0,3.65,202,3.5,0.11
6953,2.588,6.378,0.33,0.1,3.4,38,0.3,0.42
4816,2.685,5.693,0.21,0.5,4.42,353,0.1,1.17
837,2.555,6.152,0.26,0.2,4.71,148,1.2,0.2
939,2.7,5.971,0.14,0.3,5.42,8,0.1,0.09
341,2.693,6.661,0.3,1.5,4.27,349,2.7,0.08
3911,2.793,5.477,0.19,0.2,2.61,52,1.0,0.5
595,2.606,6.245,0.33,0.5,4.11,163,0.5,0.3
2496,2.889,5.635,0.23,2.0,4.6,271,0.6,0.07
1060,2.912,6.158,0.2,1.0,3.99,179,0.2,0.26
1316,2.723,6.529,0.36,0.6,5.08,194,1.1,1.63
2966,2.29,6.127,0.23,0.5,3.99,222,0.8,0.8
5434,2.7,5.678,0.24,0.6,5.43,81,0.3,0.22
1321,2.824,6.582,0.18,2.8,4.75,150,0.9,0.5
1419,2.619,6.61,0.44,1.5,3.89,250,1.6,0.73
7144,2.585,6.081,0.22,0.2,3.68,203,0.9,0.2
1172,2.597,6.043,0.31,0.7,2.9,295,2.0,2.42
1325,2.66,5.662,0.15,0.4,4.97,161,0.2,0.06
1257,2.704,6.097,0.3,1.4,4.99,106,0.5,0.17
1323,2.524,6.257,0.22,0.6,2.36,125,0.6,0.9
1241,2.576,6.03,0.29,0.6,4.43,75,0.5,0.02
644,2.703,6.882,0.3,0.1,2.66,128,3.8,1.62
950,2.606,6.049,0.28,0.2,3.4,108,0.1,0.89
1579,2.56,6.083,0.34,2.2,5.13,10,0.4,0.06
1232,2.434,6.553,0.4,1.0,3.88,320,0.2,0.36
974,2.39,5.969,0.23,0.4,4.18,179,0.8,0.14
1765,2.314,6.317,0.4,1.0,4.18,305,0.7,0.28
957,2.69,6.254,0.21,1.8,4.23,325,2.1,0.31
5464,2.596,6.139,0.23,0.5,2.87,76,0.2,1.0
1364,2.62,6.808,0.22,2.5,4.97,398,1.7,0.43
6430,2.82,5.545,0.17,0.8,5.28,50,0.4,0.58
154,2.633,6.184,0.38,3.3,4.56,256,0.5,0.33
4288,2.218,5.973,0.33,1.4,5.51,227,1.1,0.37
2686,2.397,6.255,0.2,0.2,4.35,244,0.0,0.04
4168,2.639,5.598,0.35,0.7,2.94,203,1.6,0.28
5463,2.684,5.986,0.28,0.8,4.38,144,0.9,0.26
1211,2.52,6.572,0.28,2.0,3.68,339,2.3,0.65
1268,2.733,6.216,0.15,1.0,3.4,157,1.0,0.14
6134,2.581,6.155,0.33,1.3,4.58,23,0.6,0.21
2965,2.594,6.182,0.26,0.8,4.98,25,0.1,0.07
2813,2.566,6.167,0.24,0.8,5.1,181,0.5,0.19
5912,2.61,6.23,0.23,1.5,5.36,329,0.9,0.05
1513,2.68,5.926,0.33,0.1,3.9,133,0.6,0.77
2685,2.49,5.928,0.37,1.9,4.82,302,0.6,0.24
72,2.562,6.829,0.25,2.1,3.63,5,0.5,0.49
1042,2.543,6.288,0.24,1.9,4.1,251,0.7,0.14
282,2.83,6.273,0.3,0.6,4.25,140,0.2,0.26
1919,2.704,6.175,0.27,0.3,4.54,6,1.0,0.54
106,2.575,5.955,0.31,0.8,2.94,87,1.0,0.66
4860,2.702,5.981,0.38,1.0,3.87,110,2.8,0.65
1892,2.634,6.632,0.27,1.4,3.6,187,1.1,0.77
1937,2.52,6.161,0.21,0.3,4.33,146,1.6,0.22
1159,2.434,6.247,0.29,0.9,3.85,60,0.5,0.13
6136,2.508,5.991,0.34,0.5,4.06,141,0.9,3.19
1938,2.46,5.388,0.19,1.0,4.58,112,0.3,0.2
1456,2.543,5.614,0.24,1.1,4.83,56,0.4,0.36
2456,2.681,6.931,0.33,2.7,3.91,413,2.4,0.6
456,2.425,6.407,0.34,0.0,3.01,191,1.6,0.33
1291,2.551,6.621,0.43,1.1,3.88,347,1.3,0.39
1644,2.619,6.333,0.23,0.1,2.07,138,2.4,1.15
4409,2.671,6.166,0.28,0.0,5.01,8,0.2,0.57
2217,2.437,5.875,0.35,0.5,4.88,227,0.5,0.25
5476,2.912,6.666,0.28,2.8,4.12,269,1.0,0.25
1985,2.542,6.336,0.29,0.9,4.21,153,0.3,0.36
5549,2.497,5.795,0.2,0.4,4.75,304,1.0,0.32
1365,2.93,5.981,0.25,0.7,4.75,15,0.2,0.01
1102,2.583,7.222,0.3,2.7,4.33,344,2.6,0.54
623,2.627,6.056,0.32,0.6,3.79,25,0.4,0.75
6782,2.718,6.379,0.29,0.8,4.52,44,0.0,0.31
1499,2.593,5.777,0.24,0.5,4.54,9,0.7,0.16
1965,2.617,6.813,0.23,1.4,4.5,273,1.0,0.12
1543,2.42,5.469,0.18,0.1,4.89,78,1.5,0.31
3935,2.541,6.161,0.3,0.1,4.68,396,0.4,0.24
1761,2.468,6.617,0.31,2.8,4.5,269,0.7,0.02
1094,2.724,6.019,0.37,1.2,4.12,146,0.3,0.22
5385,2.61,5.992,0.42,0.8,3.64,261,0.3,0.12
2444,2.707,6.612,0.41,0.2,3.6,289,0.4,0.52
1539,2.636,6.544,0.26,0.3,1.91,116,3.0,0.35
110,2.41,6.1,0.33,1.8,4.08,179,0.1,0.22
927,2.519,6.615,0.24,0.3,4.63,20,1.1,0.28
2008,2.53,6.749,0.29,1.2,5.2,250,0.5,0.51
1189,2.771,5.557,0.23,1.2,1.7,119,2.4,0.69
1674,2.823,6.611,0.36,2.3,5.04,34,0.6,0.11
2840,2.99,5.96,0.14,0.3,4.21,37,0.1,0.45
1548,2.546,5.708,0.24,0.3,2.54,112,0.4,0.48
565,2.272,6.779,0.53,1.8,4.14,298,0.6,0.3
15644,2.75,6.02,0.33,0.6,5.04,222,0.7,0.31
1267,2.308,5.806,0.24,0.0,4.69,105,0.6,0.49
1257,2.697,5.572,0.25,0.6,4.81,144,0.6,0.01
1959,2.61,6.177,0.19,0.7,4.27,170,1.0,0.29
151,2.49,6.476,0.39,0.3,4.03,283,2.9,0.56
1673,2.718,6.04,0.34,0.7,4.6,48,0.6,0.5
1263,2.732,6.823,0.27,1.1,5.11,291,1.4,0.19
8651,2.818,6.718,0.31,1.1,4.12,324,3.5,0.3
1825,2.482,6.707,0.23,1.7,5.1,244,0.4,0.76
3079,2.78,6.343,0.26,0.4,3.99,168,0.4,0.11
1074,2.821,6.147,0.29,0.9,1.74,55,0.5,0.63
8832,2.371,6.235,0.31,1.1,4.31,219,0.2,0.48
2861,2.472,6.197,0.29,1.1,5.12,156,0.8,0.07
1284,2.728,6.093,0.22,1.0,0.35,10,2.2,1.12
3703,2.614,5.839,0.31,0.5,4.15,261,0.1,0.11
1474,2.575,6.923,0.24,0.3,2.97,122,2.7,0.21
1301,2.72,6.626,0.24,0.2,2.8,255,2.2,0.14
2907,2.761,6.723,0.34,0.4,4.57,148,2.3,0.04
1720,2.902,6.286,0.3,0.2,4.28,115,1.2,0.36
3291,2.437,5.257,0.21,0.4,4.74,175,0.3,0.45
2774,2.648,5.618,0.26,1.6,5.36,48,0.4,0.65
2912,2.732,6.303,0.12,0.4,1.3,229,2.4,1.38
2658,2.537,5.954,0.32,0.6,4.0,169,0.7,0.76
1318,2.652,6.029,0.22,2.0,5.26,213,0.2,0.69
4889,2.845,6.48,0.32,1.6,4.82,210,1.1,0.33
1294,3.106,6.845,0.36,1.8,4.99,127,1.6,0.27
1452,2.823,6.705,0.31,1.6,4.52,339,3.8,0.07
3112,2.517,5.693,0.28,0.4,2.97,9,0.1,0.19
1506,2.585,6.029,0.16,0.6,2.8,2,2.3,0.9
463,2.757,6.085,0.31,0.6,4.7,84,0.0,0.11
2902,2.61,5.874,0.21,1.2,4.57,189,0.2,0.05
1424,2.725,6.443,0.31,0.3,2.22,1,1.9,0.22
2498,2.465,6.734,0.27,0.7,3.96,235,0.0,0.46
872,2.619,6.712,0.43,0.2,3.97,167,0.6,0.28
1290,2.771,7.133,0.42,0.9,4.87,298,0.2,0.55
1671,2.754,6.08,0.39,0.1,4.36,103,0.7,0.19
5780,2.475,6.224,0.26,0.0,2.03,142,1.1,2.71
2697,2.821,6.372,0.26,0.4,4.06,48,1.0,0.29
1367,2.646,6.115,0.32,0.9,4.59,94,0.4,0.18
1835,2.61,6.411,0.25,0.3,2.78,118,2.8,0.11
1570,2.602,6.125,0.18,0.8,3.97,230,0.8,0.33
2880,2.681,6.423,0.25,0.6,3.92,51,0.5,0.4
1409,2.574,6.061,0.28,0.7,4.23,66,0.4,0.03
19,2.74,5.922,0.23,0.1,4.67,134,0.0,0.45
1304,2.598,6.186,0.34,1.5,5.26,255,0.7,0.11
6013,2.636,5.983,0.25,0.8,4.75,12,0.4,0.18
1325,2.291,6.668,0.32,2.6,4.67,243,0.1,0.35
2033,2.568,6.459,0.39,1.5,4.23,167,1.5,0.14
5598,2.614,6.267,0.22,0.2,3.17,143,1.0,0.02
1307,2.534,6.324,0.35,0.8,4.24,256,0.6,0.18
1312,2.822,6.708,0.32,1.0,1.98,143,2.2,1.3
1589,2.651,6.175,0.21,0.7,3.18,75,1.3,1.61
2967,2.796,6.801,0.26,1.0,3.7,320,1.5,1.01
1051,2.7,5.582,0.27,0.1,4.78,181,0.6,0.09
42,2.635,7.018,0.26,2.3,3.84,125,2.6,0.62
2402,2.535,6.402,0.24,1.4,3.84,228,0.8,0.42
1505,2.656,6.03,0.29,0.1,4.5,7,0.6,0.16
82,2.731,5.819,0.26,1.8,3.7,317,0.4,0.35
653,2.622,7.003,0.33,1.0,4.51,181,1.8,0.05
1653,2.62,5.855,0.19,0.9,2.77,189,2.4,0.06
2536,2.596,5.912,0.42,0.2,4.86,141,0.2,0.0
845,2.515,5.951,0.23,0.1,0.28,191,2.5,1.11
73,2.604,5.949,0.26,0.1,4.52,247,0.7,0.4
5772,2.671,5.661,0.26,0.3,4.24,16,1.1,0.13
968,2.558,6.223,0.34,0.0,4.44,202,0.8,0.25
1611,2.6,6.055,0.24,0.1,3.93,315,2.3,0.21
276,2.919,5.947,0.3,0.3,4.35,49,0.5,0.14
4532,2.58,5.819,0.16,0.6,4.44,188,0.1,0.37
1672,2.54,6.63,0.2,0.4,3.45,136,3.7,1.72
