time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.061,0.076,0.754,0.000,0.000,0.108,0.018,0.140,0.031,0.399,0.537
0.139,0.335,0.774,0.000,2.000,0.119,0.281,0.344,0.518,0.301,0.030
0.119,0.659,0.821,0.000,3.000,0.130,0.246,0.394,0.526,0.126,0.047
0.086,0.894,0.492,0.000,4.000,0.216,0.263,0.401,0.411,0.410,0.150
0.281,0.249,0.621,0.000,4.000,0.270,0.158,0.315,0.434,0.448,0.204
0.166,0.501,0.810,0.000,4.000,0.081,0.140,0.394,0.546,0.399,0.030
0.216,0.742,0.874,0.000,2.000,0.184,0.526,0.484,0.360,0.361,0.025
0.288,0.265,0.427,0.000,3.000,0.124,0.018,0.415,0.569,0.022,0.193
0.276,0.517,0.855,0.000,4.000,0.173,0.246,0.559,0.466,0.623,0.111
0.267,0.405,0.437,0.000,0.000,0.130,0.263,0.634,0.135,0.191,0.613
0.090,0.442,0.471,0.000,0.000,0.076,0.000,0.159,0.020,0.339,0.372
0.122,0.365,0.465,0.000,0.000,0.097,0.035,0.258,0.129,0.115,0.379
0.042,0.450,0.698,0.000,0.000,0.000,0.281,0.226,0.066,0.251,0.332
0.012,0.374,0.118,0.000,3.000,0.097,0.035,0.461,0.568,0.044,0.191
0.058,0.348,0.530,0.000,2.000,0.124,0.263,0.404,0.511,0.251,0.158
0.015,0.273,0.387,0.000,0.000,0.054,0.105,0.620,0.425,0.055,1.000
0.075,0.357,0.703,0.000,0.000,0.054,0.035,0.121,0.042,0.475,0.422
0.099,0.583,0.678,0.000,3.000,0.249,0.193,0.489,0.564,0.169,0.116
0.062,0.535,0.770,0.000,4.000,0.092,0.123,0.212,0.297,0.421,0.140
0.205,0.572,0.592,0.000,0.000,0.146,0.035,0.015,0.078,0.322,0.357
0.071,0.315,0.009,0.000,3.000,0.108,0.175,0.489,0.726,0.027,0.076
0.075,0.137,0.694,0.000,2.000,0.308,0.439,0.468,0.524,0.011,0.110
0.060,0.453,0.502,0.000,3.000,0.092,0.281,0.168,0.545,0.158,0.452
0.298,0.536,0.633,0.000,3.000,0.227,0.281,0.342,0.542,0.077,0.113
0.054,0.509,0.700,0.000,0.000,0.000,0.158,0.296,0.047,0.443,0.581
0.062,0.602,0.133,0.000,3.000,0.135,0.000,0.559,0.908,0.038,0.143
0.063,0.246,0.267,0.000,3.000,0.086,0.053,0.415,0.541,0.027,0.264
0.069,0.448,0.214,0.000,3.000,0.151,0.070,0.468,0.517,0.016,0.070
0.223,0.620,0.474,0.000,3.000,0.119,0.123,0.557,0.573,0.142,0.153
0.340,0.533,0.827,0.000,2.000,0.130,0.579,0.555,0.560,0.410,0.032
0.005,0.724,0.569,0.000,4.000,0.097,0.053,0.121,0.292,0.322,0.135
0.071,0.696,0.290,0.000,2.000,0.086,0.421,0.496,0.625,0.093,0.223
0.140,0.465,0.627,0.000,0.000,0.141,0.105,0.341,0.093,0.317,0.367
0.587,0.306,0.695,0.000,0.000,0.049,0.035,0.144,0.328,0.284,0.402
0.074,0.433,0.489,0.000,2.000,0.270,0.526,0.508,0.579,0.066,0.093
0.066,0.516,0.730,0.000,0.000,0.065,0.035,0.190,0.003,0.290,0.470
0.052,0.557,0.447,0.000,0.000,0.114,0.070,0.116,0.194,0.388,0.354
0.163,0.485,0.038,0.000,3.000,0.135,0.088,0.529,0.787,0.005,0.027
0.150,0.546,0.517,0.000,2.000,0.070,0.368,0.508,0.522,0.087,0.086
0.202,0.543,0.140,0.000,3.000,0.124,0.035,0.519,0.545,0.049,0.028
0.056,0.574,0.699,0.000,4.000,0.119,0.123,0.306,0.364,0.311,0.189
0.363,0.419,0.902,0.000,3.000,0.162,0.263,0.484,0.559,0.115,0.125
0.110,0.456,0.790,0.000,2.000,0.297,0.351,0.414,0.551,0.164,0.148
0.064,0.405,0.843,0.000,4.000,0.227,0.158,0.342,0.374,0.377,0.120
0.008,0.457,0.614,0.000,4.000,0.141,0.035,0.361,0.153,0.339,0.058
0.546,0.550,0.903,0.000,2.000,0.178,0.228,0.427,0.536,0.311,0.086
0.124,0.508,0.432,0.000,2.000,0.162,0.316,0.525,0.520,0.197,0.017
0.211,0.583,0.427,0.000,0.000,0.124,0.018,0.417,0.043,0.350,0.341
0.064,0.555,0.832,0.000,4.000,0.141,0.246,0.494,0.444,0.404,0.239
0.075,0.484,0.534,0.000,0.000,0.043,0.246,0.319,0.013,0.481,0.738
0.069,0.687,0.565,0.000,0.000,0.005,0.053,0.324,0.218,0.333,0.462
0.132,0.430,0.680,0.000,4.000,0.168,0.053,0.116,0.258,0.590,0.277
0.326,0.401,0.642,0.000,0.000,0.157,0.018,0.067,0.376,0.628,0.782
0.143,0.508,0.885,0.000,2.000,0.141,0.596,0.326,0.562,0.142,0.128
0.085,0.577,0.625,0.000,0.000,0.054,0.088,0.131,0.128,0.164,0.498
0.060,0.035,0.355,0.000,4.000,0.151,0.053,0.328,0.288,0.311,0.344
0.105,0.453,0.219,0.000,3.000,0.130,0.175,0.392,0.793,0.060,0.159
0.020,0.743,0.509,0.000,0.000,0.016,0.105,0.134,0.101,0.104,0.439
0.082,0.448,0.804,0.000,4.000,0.092,0.123,0.282,0.318,0.311,0.198
0.064,0.505,0.373,0.000,3.000,0.157,0.035,0.575,0.587,0.044,0.000
0.491,0.502,0.839,0.000,0.000,0.027,0.088,0.070,0.253,0.470,0.389
0.081,0.439,0.779,0.000,2.000,0.281,0.351,0.466,0.518,0.022,0.075
0.012,0.382,0.848,0.000,2.000,0.173,0.439,0.357,0.548,0.388,0.061
0.015,0.536,0.601,0.000,4.000,0.038,0.298,0.125,0.496,0.372,0.188
0.003,0.696,0.675,0.000,4.000,0.103,0.088,0.204,0.448,0.421,0.135
0.074,0.469,0.630,0.000,0.000,0.097,0.000,0.113,0.106,0.574,0.445
0.056,0.531,0.561,0.000,0.000,0.016,0.053,0.250,0.167,0.175,0.254
0.075,0.472,0.619,0.000,4.000,0.173,0.140,0.054,0.540,0.344,0.091
0.052,0.572,0.636,0.000,2.000,0.178,0.965,0.398,0.569,0.142,0.091
0.084,0.316,0.641,0.000,2.000,0.200,0.632,0.319,0.513,0.066,0.066
0.008,0.883,0.745,0.000,4.000,0.043,0.509,0.151,0.098,0.350,0.211
0.064,0.395,0.715,0.000,4.000,0.081,0.105,0.042,0.466,0.885,0.209
0.351,0.459,0.490,0.000,0.000,0.065,0.018,0.015,0.088,0.328,0.533
0.077,0.496,0.468,0.000,3.000,0.184,0.193,0.456,0.527,0.027,0.051
0.123,0.216,0.292,0.000,3.000,0.232,0.211,0.508,0.529,0.082,0.015
0.065,0.649,0.582,0.000,4.000,0.114,0.018,0.151,0.138,0.328,0.123
0.084,0.449,0.793,0.000,2.000,0.173,0.491,0.546,0.547,0.180,0.003
0.431,0.823,0.795,0.000,4.000,0.032,0.211,0.130,0.393,0.503,0.234
0.223,0.781,0.121,0.000,3.000,0.114,0.123,0.442,0.941,0.027,0.234
0.083,0.405,0.537,0.000,1.000,0.092,0.281,0.117,0.041,0.098,0.151
0.067,0.149,0.572,0.000,3.000,0.281,0.175,0.506,0.522,0.038,0.020
0.273,0.510,0.615,0.000,2.000,0.151,0.526,0.249,0.218,0.328,0.224
0.002,0.551,0.727,0.000,2.000,0.162,0.316,0.502,0.522,0.202,0.037
0.064,0.481,0.634,0.000,2.000,0.146,0.526,0.462,0.520,0.208,0.051
0.079,0.466,0.386,0.000,2.000,0.265,0.386,0.523,0.566,0.060,0.078
0.070,0.480,0.225,0.000,3.000,0.146,0.228,0.341,0.716,0.027,0.219
0.264,0.443,0.748,0.000,2.000,0.254,0.368,0.525,0.542,0.131,0.130
0.190,0.122,0.710,0.000,4.000,0.103,0.386,0.335,0.384,0.344,0.339
0.075,0.512,0.473,0.000,2.000,0.151,0.579,0.461,0.562,0.044,0.061
0.138,0.790,0.343,0.000,3.000,0.124,0.035,0.467,0.767,0.087,0.520
0.010,0.521,0.559,0.000,0.000,0.016,0.158,0.222,0.061,0.656,0.626
0.059,0.330,0.567,0.000,0.000,0.157,0.070,0.145,0.239,0.153,0.284
0.079,0.570,0.419,0.000,0.000,0.005,0.211,0.384,0.175,0.120,0.440
0.144,0.418,0.493,0.000,2.000,0.459,1.000,0.529,0.640,0.005,0.040
0.043,0.307,0.476,0.000,3.000,0.151,0.000,0.102,0.548,0.126,0.261
0.157,0.362,0.854,0.000,4.000,0.097,0.158,0.119,0.256,0.372,0.347
0.044,0.333,0.215,0.000,3.000,0.130,0.035,0.466,0.652,0.000,0.169
0.075,0.428,0.619,0.000,0.000,0.016,0.193,0.308,0.216,0.230,0.447
0.192,0.222,0.758,0.000,4.000,0.141,0.035,0.405,0.362,0.328,0.196
0.262,0.474,0.799,0.000,2.000,0.135,0.912,0.434,0.357,0.164,0.027
0.110,0.151,0.278,0.000,3.000,0.097,0.105,0.263,0.805,0.016,0.658
0.208,0.942,0.789,0.000,2.000,0.157,0.298,0.466,0.519,0.153,0.076
0.163,0.508,0.434,0.000,1.000,0.097,0.000,0.239,0.198,0.049,0.128
0.120,0.712,0.076,0.000,3.000,0.168,0.018,0.413,0.526,0.000,0.005
0.079,0.432,0.578,0.000,0.000,0.114,0.298,0.373,0.293,0.033,0.429
0.007,0.558,0.696,0.000,0.000,0.130,0.053,0.229,0.315,0.710,0.716
0.064,0.281,0.382,0.000,2.000,0.124,0.404,0.540,0.543,0.093,0.060
0.067,0.540,0.598,0.000,4.000,0.059,0.246,0.083,0.175,0.328,0.262
0.149,0.654,0.819,0.000,4.000,0.151,0.175,0.238,0.365,0.448,0.284
0.008,0.739,0.199,0.000,3.000,0.168,0.175,0.498,0.582,0.033,0.178
0.056,0.521,0.551,0.000,0.000,0.103,0.211,0.040,0.004,0.339,0.342
0.153,0.503,0.759,0.000,0.000,0.314,0.333,0.260,0.194,0.508,0.475
0.232,0.333,0.237,0.000,3.000,0.130,0.000,0.581,0.598,0.049,0.048
0.026,0.695,0.718,0.000,0.000,0.151,0.140,0.119,0.195,0.317,0.415
0.006,0.630,0.206,0.000,3.000,0.103,0.105,0.356,0.829,0.049,0.336
0.085,0.401,0.400,0.000,3.000,0.168,0.035,0.478,0.619,0.005,0.042
0.063,0.489,0.492,0.000,4.000,0.254,0.140,0.027,0.171,0.361,0.066
0.003,0.504,0.484,0.000,0.000,0.032,0.351,0.096,0.083,0.350,0.547
0.063,0.659,0.796,0.000,4.000,0.168,0.193,0.336,0.503,0.311,0.118
0.083,0.563,0.588,0.000,4.000,0.184,0.105,0.056,0.528,0.333,0.209
0.212,0.762,0.170,0.000,3.000,0.119,0.070,0.404,0.888,0.005,0.404
0.116,0.414,0.290,0.000,3.000,0.076,0.105,0.468,0.517,0.027,0.266
0.005,0.677,0.246,0.000,3.000,0.151,0.175,0.421,0.526,0.005,0.444
0.374,0.651,0.379,0.000,2.000,0.232,0.491,0.328,0.135,0.224,0.106
0.097,0.580,0.780,0.000,4.000,0.070,0.140,0.019,0.315,0.590,0.271
0.062,0.224,0.802,0.000,4.000,0.081,0.035,0.305,0.300,0.284,0.219
0.364,0.487,0.692,0.000,0.000,0.157,0.123,0.399,0.306,0.410,0.515
0.101,0.515,0.268,0.000,3.000,0.141,0.105,0.541,0.693,0.055,0.028
0.069,0.516,0.769,0.000,4.000,0.157,0.018,0.231,0.380,0.377,0.066
0.051,0.304,0.661,0.000,4.000,0.070,0.053,0.328,0.300,0.426,0.277
0.051,0.593,0.698,0.000,4.000,0.130,0.175,0.448,0.360,0.421,0.035
0.139,0.346,0.473,0.000,0.000,0.054,0.175,0.093,0.077,0.497,0.686
0.004,0.717,0.311,0.000,3.000,0.124,0.193,0.431,0.616,0.055,0.153
0.070,0.198,0.079,0.000,3.000,0.119,0.123,0.397,0.895,0.022,0.301
0.042,0.393,0.638,0.000,0.000,0.005,0.105,0.124,0.073,0.208,0.556
0.285,0.563,0.274,0.000,0.000,0.086,0.123,0.338,0.180,0.077,0.633
0.080,0.580,0.671,0.000,0.000,0.070,0.053,0.043,0.298,0.481,0.449
0.010,0.291,0.139,0.000,3.000,0.124,0.018,0.522,0.731,0.022,0.037
0.044,0.178,0.703,0.000,2.000,0.195,0.526,0.428,0.522,0.027,0.126
0.061,0.320,0.573,0.000,0.000,0.086,0.035,0.009,0.218,0.410,0.354
0.001,0.491,0.045,0.000,0.000,0.011,0.351,0.188,0.399,0.361,0.608
0.087,0.659,0.826,0.000,4.000,0.130,0.053,0.161,0.307,0.383,0.329
0.069,0.303,0.845,0.000,4.000,0.189,0.123,0.200,0.435,0.770,0.352
0.082,0.405,0.483,0.000,4.000,0.205,0.333,0.139,0.001,0.311,0.061
0.074,0.484,0.756,0.000,4.000,0.114,0.018,0.216,0.281,0.399,0.181
0.131,0.564,0.582,0.000,0.000,0.005,0.070,0.285,0.185,0.093,0.355
0.113,0.470,0.669,0.000,2.000,0.135,0.456,0.478,0.514,0.148,0.017
0.077,0.487,0.112,0.000,3.000,0.114,0.175,0.403,0.550,0.071,0.151
0.070,0.531,0.703,0.000,0.000,0.059,0.018,0.139,0.128,0.197,0.517
0.066,0.527,0.816,0.000,4.000,0.151,0.035,0.320,0.364,0.612,0.023
0.098,0.372,0.568,0.000,2.000,0.157,0.439,0.394,0.432,0.393,0.143
0.080,0.301,0.729,0.000,4.000,0.065,0.053,0.130,0.283,0.656,0.372
0.085,0.265,0.440,0.000,3.000,0.168,0.018,0.419,0.568,0.027,0.090
0.057,0.715,0.408,0.000,3.000,0.130,0.316,0.309,0.560,0.044,0.259
0.214,0.762,0.377,0.000,3.000,0.119,0.053,0.132,0.583,0.197,0.417
0.007,0.894,0.305,0.000,3.000,0.135,0.000,0.572,0.575,0.005,0.098
0.063,0.445,0.148,0.000,3.000,0.130,0.018,0.509,0.565,0.049,0.211
0.011,0.386,0.737,0.000,2.000,0.135,0.456,0.433,0.537,0.290,0.090
0.074,0.421,0.718,0.000,0.000,0.022,0.105,0.025,0.158,0.590,0.560
0.081,0.425,0.608,0.000,0.000,0.103,0.105,0.072,0.224,0.486,0.535
0.053,0.659,0.454,0.000,4.000,0.135,0.105,0.399,0.360,0.525,0.219
0.009,0.511,0.752,0.000,2.000,0.124,0.386,0.548,0.515,0.219,0.065
0.067,0.492,0.427,0.000,3.000,0.070,0.263,0.056,0.555,0.126,0.354
0.788,0.485,0.750,0.000,4.000,0.108,0.088,0.149,0.272,0.437,0.189
0.006,0.507,0.754,0.000,0.000,0.022,0.105,0.188,0.096,0.191,0.766
0.194,0.594,0.455,0.000,3.000,0.097,0.018,0.422,0.610,0.082,0.259
0.077,0.588,0.656,0.000,4.000,0.092,0.053,0.035,0.239,0.344,0.244
0.065,0.656,0.498,0.000,0.000,0.016,0.211,0.351,0.295,0.230,0.545
0.070,0.715,0.620,0.000,4.000,0.103,0.035,0.407,0.312,0.393,0.254
0.102,0.486,0.260,0.000,3.000,0.135,0.035,0.081,0.681,0.066,0.364
0.143,0.569,0.200,0.000,3.000,0.124,0.140,0.194,0.583,0.033,0.191
0.092,0.274,0.559,0.000,2.000,0.119,0.316,0.504,0.430,0.311,0.002
0.067,0.604,0.380,0.000,0.000,0.081,0.035,0.134,0.085,0.339,0.453
0.006,0.677,0.121,0.000,3.000,0.076,0.105,0.268,0.893,0.033,0.312
0.274,0.391,0.326,0.000,0.000,0.070,0.140,0.179,0.088,0.404,0.322
0.069,0.594,0.608,0.000,2.000,0.130,0.316,0.397,0.327,0.317,0.045
0.051,0.527,0.747,0.000,4.000,0.222,0.035,0.302,0.097,0.415,0.252
0.049,0.702,0.641,0.000,2.000,0.157,0.351,0.427,0.218,0.317,0.085
0.074,0.558,0.582,0.000,0.000,0.195,0.158,0.104,0.278,0.459,0.458
0.071,0.621,0.270,0.000,3.000,0.119,0.246,0.380,0.779,0.104,0.291
0.048,0.606,0.199,0.000,4.000,0.205,0.228,0.761,0.175,0.656,0.248
0.064,0.668,0.225,0.000,0.000,0.070,0.070,0.021,0.005,0.317,0.364
0.063,0.610,0.272,0.000,3.000,0.130,0.035,0.565,0.533,0.016,0.051
0.017,0.694,0.893,0.000,2.000,0.168,0.684,0.355,0.579,0.137,0.105
0.210,0.574,0.486,0.000,0.000,0.011,0.105,0.044,0.176,0.339,0.382
0.082,0.692,0.041,0.000,3.000,0.119,0.018,0.420,0.569,0.038,0.010
0.067,0.313,0.655,0.000,2.000,0.227,0.491,0.596,0.545,0.077,0.030
0.411,0.610,0.618,0.000,1.000,0.070,0.281,0.900,0.236,0.016,0.048
0.057,0.730,0.053,0.000,3.000,0.108,0.158,0.477,0.679,0.044,0.224
0.024,0.075,0.176,0.000,3.000,0.195,0.035,0.606,0.518,0.011,0.028
0.072,0.509,0.180,0.000,3.000,0.076,0.175,0.208,0.656,0.142,0.211
0.077,0.497,0.498,0.000,0.000,0.097,0.070,0.139,0.316,0.230,0.392
0.071,0.478,0.572,0.000,0.000,0.281,0.421,0.205,0.071,0.279,0.537
0.046,0.222,0.865,0.000,4.000,0.086,0.105,0.287,0.348,0.536,0.135
0.093,0.410,0.569,0.000,0.000,0.076,0.088,0.109,0.054,0.224,0.555
0.085,0.771,0.737,0.000,2.000,0.222,0.439,0.625,0.552,0.694,0.027
0.061,0.570,0.524,0.000,0.000,0.108,0.088,0.005,0.156,0.361,0.623
0.034,0.949,0.764,0.000,4.000,0.227,0.088,0.158,0.256,0.301,0.259
0.064,0.492,0.789,0.000,2.000,0.259,0.386,0.426,0.518,0.464,0.078
0.138,0.518,0.792,0.000,4.000,0.086,0.281,0.349,0.459,0.333,0.203
0.340,0.557,0.640,0.000,0.000,0.081,0.193,0.140,0.341,0.087,0.397
0.067,0.627,0.814,0.000,4.000,0.027,0.544,0.137,0.344,0.388,0.191
0.153,0.702,0.463,0.000,4.000,0.205,0.000,0.385,0.286,0.317,0.233
0.141,0.534,0.548,0.000,4.000,0.162,0.228,0.352,0.135,0.333,0.277
0.095,0.743,0.773,0.000,0.000,0.130,0.070,0.445,0.312,0.443,0.467
0.096,0.226,0.299,0.000,0.000,0.065,0.123,0.286,0.249,0.257,0.684
0.132,0.564,0.903,0.000,4.000,0.119,0.105,0.412,0.394,0.317,0.168
0.085,0.493,0.396,0.000,2.000,0.238,0.439,0.512,0.526,0.011,0.090
0.310,0.299,0.711,0.000,4.000,0.189,0.123,0.300,0.457,0.339,0.101
0.016,0.552,0.722,0.000,4.000,0.168,0.175,0.459,0.264,0.339,0.027
0.134,0.621,0.282,0.000,3.000,0.022,0.298,0.666,0.913,0.175,0.919
0.373,0.262,0.641,0.000,4.000,0.086,0.035,0.251,0.253,0.339,0.148
0.120,0.670,0.501,0.000,2.000,0.443,0.491,0.560,0.324,0.005,0.234
0.223,0.710,0.369,0.000,0.000,0.076,0.158,0.203,0.250,0.383,0.389
0.073,0.312,0.627,0.000,4.000,0.114,0.018,0.125,0.142,0.153,0.120
0.139,0.843,0.470,0.000,0.000,0.022,0.123,0.022,0.182,0.317,0.324
0.042,0.500,0.602,0.000,0.000,0.070,0.018,0.040,0.000,0.366,0.429
0.054,0.561,0.455,0.000,0.000,0.130,0.000,0.086,0.261,0.311,0.352
0.143,0.808,0.800,0.000,2.000,0.146,0.263,0.431,0.520,0.339,0.000
0.077,0.493,0.700,0.000,4.000,0.168,0.246,0.222,0.560,0.459,0.101
0.223,0.444,0.706,0.000,4.000,0.173,0.140,0.219,0.417,0.437,0.130
0.037,0.482,0.353,0.000,3.000,0.173,0.211,0.466,0.605,0.038,0.066
0.101,0.417,0.693,0.000,2.000,0.222,0.421,0.550,0.520,0.126,0.060
0.273,0.435,0.669,0.000,0.000,0.178,0.211,0.090,0.056,0.432,0.326
0.062,0.497,0.631,0.000,4.000,0.092,0.070,0.086,0.240,0.344,0.272
0.073,0.712,0.733,0.000,4.000,0.076,0.316,0.141,0.321,0.454,0.075
0.077,0.495,0.498,0.000,4.000,0.059,0.053,0.195,0.151,0.126,0.214
0.278,0.534,0.878,0.000,4.000,0.086,0.140,0.310,0.431,0.514,0.098
0.053,0.769,0.628,0.000,2.000,0.281,0.667,0.562,0.122,0.164,0.153
0.223,0.630,0.478,0.000,0.000,0.011,0.316,0.323,0.131,0.191,0.654
0.046,0.453,0.890,0.000,2.000,0.319,0.421,0.490,0.592,0.339,0.078
0.004,0.533,0.432,0.000,0.000,0.146,0.211,0.268,0.147,0.393,0.344
0.058,0.314,0.651,0.000,2.000,0.314,0.351,0.464,0.548,0.197,0.103
0.067,0.715,0.767,0.000,4.000,0.162,0.035,0.398,0.355,0.311,0.181
0.072,0.621,0.462,0.000,0.000,0.059,0.035,0.111,0.001,0.328,0.372
0.002,0.371,0.580,0.000,1.000,0.297,0.368,0.179,0.001,0.224,0.008
0.074,0.465,0.887,0.000,4.000,0.130,0.035,0.326,0.523,0.574,0.219
0.063,0.513,0.552,0.000,0.000,0.092,0.193,0.189,0.010,0.235,0.749
0.084,0.818,0.355,0.000,3.000,0.108,0.123,0.497,0.793,0.044,0.354
0.060,0.449,0.787,0.000,2.000,0.146,0.579,0.408,0.386,0.366,0.267
0.056,0.341,0.599,0.000,4.000,0.076,0.105,0.009,0.365,0.749,0.429
0.024,0.380,0.560,0.000,0.000,0.059,0.000,0.172,0.119,0.202,0.344
0.060,0.849,0.002,0.000,3.000,0.135,0.140,0.483,0.615,0.005,0.000
0.007,0.713,0.227,0.000,3.000,0.065,0.123,0.169,0.522,0.126,0.364
0.009,0.715,0.848,0.000,3.000,0.103,0.263,0.275,0.562,0.219,0.145
0.068,0.553,0.850,0.000,0.000,0.162,0.175,0.006,0.236,0.486,0.638
0.300,0.740,0.428,0.000,2.000,0.395,0.912,0.832,0.565,0.164,0.186
0.147,0.481,0.558,0.000,2.000,0.205,0.421,0.511,0.538,0.098,0.091
0.073,0.715,0.072,0.000,3.000,0.124,0.140,0.287,0.790,0.027,0.186
0.084,0.541,0.749,0.000,1.000,0.081,0.053,1.000,0.031,0.213,0.699
0.089,0.470,0.572,0.000,3.000,0.146,0.175,0.270,0.629,0.087,0.473
0.055,0.188,0.338,0.000,3.000,0.168,0.018,0.446,0.864,0.005,0.125
0.069,0.480,0.513,0.000,4.000,0.119,0.281,0.345,0.366,0.361,0.321
0.089,0.767,0.725,0.000,4.000,0.092,0.281,0.335,0.265,0.361,0.066
0.122,0.581,0.594,0.000,4.000,0.108,0.404,0.302,0.327,0.372,0.292
0.074,0.771,0.514,0.000,4.000,0.005,0.123,0.089,0.253,0.322,0.286
0.131,0.318,0.881,0.000,4.000,0.151,0.035,0.389,0.500,0.361,0.141
0.072,0.741,0.619,0.000,2.000,0.092,0.614,0.209,0.344,0.311,0.115
0.060,0.546,0.806,0.000,0.000,0.005,0.105,0.064,0.237,0.372,0.370
0.014,0.566,0.640,0.000,2.000,0.173,0.491,0.380,0.517,0.104,0.042
0.256,0.600,0.511,0.000,0.000,0.070,0.035,0.109,0.129,0.383,0.342
0.063,0.433,0.907,0.000,2.000,0.162,0.474,0.440,0.570,0.208,0.055
0.064,0.325,0.722,0.000,1.000,0.005,0.175,0.916,0.338,0.268,0.362
0.090,0.408,0.452,0.000,4.000,0.103,0.053,0.373,0.376,0.361,0.206
0.130,0.464,0.726,0.000,2.000,0.135,0.439,0.497,0.565,0.224,0.154
0.040,0.380,0.461,0.000,3.000,0.141,0.246,0.168,0.545,0.049,0.291
0.055,0.602,0.119,0.000,3.000,0.119,0.053,0.159,0.538,0.011,0.375
0.036,0.630,0.467,0.000,0.000,0.103,0.316,0.019,0.010,0.350,0.515
0.079,0.520,0.896,0.000,4.000,0.022,0.018,0.244,0.258,0.552,0.397
0.200,0.850,0.517,0.000,4.000,0.141,0.193,0.265,0.196,0.377,0.289
0.188,0.517,0.878,0.000,0.000,0.092,0.035,0.000,0.321,0.809,0.608
0.071,0.903,0.507,0.000,0.000,0.005,0.158,0.140,0.068,0.355,0.505
0.042,0.508,0.771,0.000,4.000,0.054,0.386,0.264,0.398,0.699,0.184
0.082,0.837,0.759,0.000,4.000,0.162,0.035,0.128,0.223,0.732,0.201
0.116,0.308,0.849,0.000,0.000,0.022,0.088,0.358,0.210,0.372,0.347
0.003,0.419,0.610,0.000,1.000,0.249,0.105,0.495,0.259,0.333,0.030
0.025,0.585,0.516,0.000,3.000,0.195,0.211,0.484,0.517,0.131,0.028
0.044,0.409,0.607,0.000,3.000,0.292,0.211,0.551,0.570,0.120,0.116
0.267,0.395,0.739,0.000,2.000,0.184,0.386,0.488,0.564,0.295,0.096
0.141,0.499,0.696,0.000,3.000,0.211,0.228,0.452,0.542,0.109,0.081
0.032,0.539,0.579,0.000,0.000,0.054,0.035,0.107,0.074,0.115,0.347
0.091,0.583,0.310,0.000,3.000,0.135,0.035,0.511,0.554,0.044,0.033
0.119,0.871,0.774,0.000,0.000,0.011,0.105,0.222,0.325,1.000,0.601
0.092,0.741,0.090,0.000,3.000,0.168,0.000,0.568,0.533,0.011,0.025
0.089,0.531,0.474,0.000,3.000,0.173,0.140,0.520,0.569,0.000,0.012
0.091,0.529,0.330,0.000,0.000,0.049,0.035,0.152,0.134,0.322,0.347
0.139,0.557,0.786,0.000,2.000,0.276,0.316,0.529,0.594,0.497,0.023
0.078,0.532,0.089,0.000,0.000,0.081,0.088,0.119,0.134,0.060,0.254
0.002,0.442,0.685,0.000,3.000,0.265,0.158,0.432,0.543,0.240,0.051
0.493,0.572,0.811,0.000,4.000,0.200,0.281,0.145,0.371,0.443,0.037
0.056,0.640,0.882,0.000,0.000,0.097,0.053,0.259,0.119,0.514,0.729
0.044,0.342,0.814,0.000,4.000,0.032,0.088,0.111,0.327,0.503,0.415
0.061,0.316,0.484,0.000,1.000,0.168,0.386,0.380,0.041,0.202,0.018
0.082,0.660,0.311,0.000,0.000,0.124,0.193,0.069,0.175,0.038,0.942
0.084,0.349,0.456,0.000,3.000,0.135,0.140,0.007,0.534,0.022,0.158
0.219,0.470,0.448,0.000,2.000,0.211,0.263,0.632,0.501,0.333,0.000
0.070,0.571,0.482,0.000,4.000,0.049,0.140,0.104,0.121,0.350,0.214
0.119,0.560,0.784,0.000,2.000,0.119,0.456,0.525,0.532,0.175,0.120
0.099,0.536,0.456,0.000,4.000,0.038,0.088,0.296,0.284,0.339,0.076
0.005,0.743,0.174,0.000,3.000,0.135,0.158,0.502,0.798,0.005,0.370
0.004,0.354,0.703,0.000,2.000,0.162,0.526,0.467,0.528,0.191,0.061
0.186,0.310,0.632,0.000,4.000,0.162,0.123,0.169,0.388,0.579,0.370
0.066,0.720,0.819,0.000,2.000,0.119,0.211,0.453,0.462,0.311,0.032
0.219,0.485,0.577,0.000,0.000,0.205,0.018,0.005,0.088,0.486,0.419
0.121,0.614,0.734,0.000,0.000,0.038,0.246,0.593,0.199,0.180,0.738
0.211,0.329,0.349,0.000,4.000,0.222,0.070,0.466,0.500,0.372,0.126
0.138,0.558,0.466,0.000,4.000,0.081,0.263,0.414,0.501,0.399,0.304
0.092,0.621,0.130,0.000,3.000,0.130,0.035,0.596,0.704,0.044,0.015
0.103,0.559,0.299,0.000,0.000,0.022,0.018,0.169,0.172,0.372,0.365
0.073,0.535,0.733,0.000,2.000,0.130,0.386,0.454,0.546,0.104,0.116
0.061,0.425,0.513,0.000,0.000,0.130,0.140,0.200,0.001,0.809,0.505
0.079,0.651,0.732,0.000,4.000,0.038,0.053,0.196,0.514,0.454,0.176
0.194,0.634,0.767,0.000,3.000,0.097,0.175,0.351,0.523,0.240,0.183
0.053,0.604,0.861,0.000,0.000,0.022,0.193,0.179,0.281,0.311,0.797
0.062,0.536,0.467,0.000,3.000,0.119,0.105,0.418,0.857,0.044,0.395
